stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC4121,13044,28.63365,77.200033,Laxmi Narayan Temple,13044
U03747,13045,28.676502732495248,77.32175888222963,Shahdara Border GT Road,13045
U03697,13046,28.624694,77.319302,National Highway 24 Crossing,13046
U03708,13047,28.623,77.3198,Gazi Pur DDA Flats,13047
U03718,13048,28.6203,77.3208,Gazipur Dairy Farm,13048
U03723,13049,28.6144,77.3214,Kalyan Puri Crossing (Ghazipur Road),13049
DC5390,13050,28.6760765,77.1187946,Madi Pur JJ Colony,13050
DC4876,13051,28.620833,76.972567,New Anaj Mandi,13051
U02799,13052,28.53925026642119,77.23198435355896,Chirag Delhi,13052
U02815,13053,28.561664473565788,77.23181997339704,Central School (MCKR),13053
U02913,13054,28.6022,77.240417,Sunder Nagar,13054
U99712,13055,28.639,77.2513,Rajghat Gandhi Darshan,13055
DC0071,13056,28.6106,77.2131,Udyog Bhawan,13056
DC0072,13057,28.610381,77.217327,Nirman Bhawan,13057
U02625,13058,28.610217,77.22165,Vigyan Bhawan,13058
U02708,13059,28.610633,77.22595,Akbar Road,13059
U02675,13060,28.598467,77.225,Ravindra Nagar,13060
DC4006,13061,28.6248,77.233,Mandi House,13061
DC4002,13062,28.622306,77.235589,Aaga Khan Hall,13062
DC4004,13063,28.62059,77.23795,Supreme Court,13063
DC4134,13064,28.612697,77.245017,Pragati Maidan (Bhairon Marg),13064
DC4848,13065,28.538717,77.292267,Sarita Vihar K Block,13065
DC4849,13066,28.540783,77.297267,Jasola Vihar,13066
DC4850,13067,28.543,77.30295,Shaheen Bagh,13067
DC4851,13068,28.5452,77.306033,Kalindi Kunj,13068
DC4852,13069,28.543,77.309683,Kalindi Kunj Metro Station,13069
DC4853,13070,28.53205,77.304783,Madanpur Khadar Crossing,13070
DC4854,13071,28.53255,77.315217,Madanpur Khadar JJ Colony,13071
DC5164,13072,28.591592,76.919063,Jaffar Pur Kalan,13072
U02087,13073,28.529983,77.192133,DDA Flats Lado Sarai,13073
U02139,13074,28.531317,77.197033,PTS (Geetanjali Enclave),13074
DC3763,13075,28.558983,77.273067,Sukhdev Vihar,13075
U04000A,13076,28.5608,77.2727,Holy Family Hospital,13076
U03425,13077,28.529321,77.288346,Madanpur Khadar Crossing,13077
U03504,13078,28.513183,77.297783,Onida Factory,13078
DC5280,13079,28.583449,77.010944,Taj Pur More,13079
U99986,13080,28.6276,77.0697,Vikaspuri Xing,13080
DC3695,13081,28.631217,77.068583,PS Vikas Puri,13081
DC4890,13082,28.647253,77.078371,H-3 Vikas Puri Terminal,13082
DC3771,13083,28.744817,77.133866,Badli Telephone Exchange,13083
U01604,13084,28.737164,77.159897,Mukarba Chowk ORR,13084
DC3774,13085,28.7307,77.1902,Christian Kabristan,13085
DC5121,13086,28.743164,77.131729,Rohini Sec 18 B-7 Road,13086
DC4976,13087,28.841813,77.113487,B-2 Narela E Block,13087
DC4360,13088,28.691722,77.101031,West Enclave / Sansad Vihar (T),13088
DC4296,13089,28.68344,77.136724,Rajdhani Enclave / Mahindra Park,13089
DC4294,13090,28.685237,77.140696,Samrat Enclave,13090
DC4291,13091,28.684313,77.14563,Shakur Pur JJ Colony/ Britannia,13091
DC4111,13092,28.600817,77.228917,Sujan Singh Park,13092
U99919A,13093,28.602867,77.2278501,Humayun Road / Khan Market,13093
U99816,13094,28.63215,77.190017,Upper Ridge Road,13094
DC4170,13095,28.5651882,77.0496593,Pochan Pur Village Dwarka Sec 23,13095
DC5140,13096,28.80719,77.18434,Ramzan Pur Village,13096
DC5137,13097,28.81039,77.17549,Ramzan Pur Crossing,13097
U02749,13098,28.668446,77.229444,Kashmere Gate City Bus Terminal,13098
DC5108,13099,28.64659,77.24625,Shakti Sthal,13099
U02835,13100,28.664924,77.234467,GGS Indraprastha University Kashmere Gate,13100
DC5110,13101,28.682065,77.22433,IP College (Ring Road),13101
DC4896,13102,28.82149,76.99493,Auchandi Village,13102
DC4897,13103,28.8286,76.98803,Auchandi Border,13103
